v(Vout),v(V1),v(V2)
0.00850071038,0.73,0.9
0.00851348476,0.74,0.9
0.00852990604,0.75,0.9
0.00855192527,0.76,0.9
0.00858367295,0.77,0.9
0.00863677892,0.78,0.9
0.00880043256,0.79,0.9
0.00955118079,0.8,0.9
0.0105633695,0.81,0.9
0.0116782386,0.82,0.9
0.0128802301,0.83,0.9
0.0141794656,0.84,0.9
0.0166480221,0.85,0.9
0.0226224212,0.86,0.9
0.0310817042,0.87,0.9
0.0431513572,0.88,0.9
0.0643351081,0.89,0.9
0.946695073,0.9,0.9
1.7490511,0.91,0.9
1.76399198,0.92,0.9
1.77202729,0.93,0.9
1.77611402,0.94,0.9
1.77908495,0.95,0.9
1.78142896,0.96,0.9
1.78322499,0.97,0.9
1.78462505,0.98,0.9
1.78573773,0.99,0.9
1.78663368,1,0.9
1.78736221,1.01,0.9
1.78795908,1.02,0.9
1.78845093,1.03,0.9
1.78885797,1.04,0.9
1.78919586,1.05,0.9
1.78947689,1.06,0.9
1.78971084,1.07,0.9
1.7899056,1.08,0.9
1.79006757,1.09,0.9
1.79020203,1.1,0.9
1.79031336,1.11,0.9
1.79040521,1.12,0.9
1.79048067,1.13,0.9
1.79054236,1.14,0.9
1.79059251,1.15,0.9
1.79063305,1.16,0.9
1.7906656,1.17,0.9
1.79069158,1.18,0.9
1.79071216,1.19,0.9
1.79072836,1.2,0.9
1.79074104,1.21,0.9
1.79075089,1.22,0.9
1.7907585,1.23,0.9
1.79076435,1.24,0.9
1.79076882,1.25,0.9
1.79077221,1.26,0.9
1.79077479,1.27,0.9
1.79077672,1.28,0.9
1.79077818,1.29,0.9
1.79077927,1.3,0.9
1.79078009,1.31,0.9
1.79078069,1.32,0.9
1.79078114,1.33,0.9
1.79078148,1.34,0.9
1.79078173,1.35,0.9
1.79078191,1.36,0.9
1.79078205,1.37,0.9
1.79078214,1.38,0.9
1.79078222,1.39,0.9
1.79078227,1.4,0.9
1.79078231,1.41,0.9
1.79078234,1.42,0.9
1.79078236,1.43,0.9
1.79078238,1.44,0.9
1.79078239,1.45,0.9
1.7907824,1.46,0.9
1.7907824,1.47,0.9
1.79078241,1.48,0.9
1.79078241,1.49,0.9
1.79078241,1.5,0.9
1.79078242,1.51,0.9
1.79078241,1.52,0.9
1.79078242,1.53,0.9
1.79078242,1.54,0.9
1.79078242,1.55,0.9
1.79078242,1.56,0.9
1.79078242,1.57,0.9
1.79078242,1.58,0.9
1.79078242,1.59,0.9
1.79078241,1.6,0.9
1.79078242,1.61,0.9
1.79078242,1.62,0.9
1.79078242,1.63,0.9
1.79078241,1.64,0.9
1.79078241,1.65,0.9
1.79078242,1.66,0.9
1.79078241,1.67,0.9
1.79078241,1.68,0.9
1.79078241,1.69,0.9
1.79078241,1.7,0.9
1.79078241,1.71,0.9
1.79078241,1.72,0.9
1.79078241,1.73,0.9
1.79078241,1.74,0.9
1.79078241,1.75,0.9
1.79078241,1.76,0.9
1.79078241,1.77,0.9
1.7907824,1.78,0.9
1.7907824,1.79,0.9
1.7907824,1.8,0.9
